Node,Timestamp,Parameter,Value_raw,Value_hrf
001e06113107,2018/06/04 02:16:24,concentration,517,NA
001e06113107,2018/06/04 02:16:24,intensity,NA,56.72
001e06113cff,2018/06/04 02:16:24,pm2_5,NA,0.0
001e06113cff,2018/06/04 02:16:24,concentration,1003,NA
001e06113cff,2018/06/04 02:16:24,intensity,NA,68.76
001e061146ba,2018/06/04 02:16:24,intensity,NA,56.72
001e06114fcf,2018/06/04 02:16:24,concentration,2002,NA
001e06114fcf,2018/06/04 02:16:24,intensity,NA,66.26
001e06114fd4,2018/06/04 02:16:24,pm2_5,NA,NA
001e06114fd4,2018/06/04 02:16:24,concentration,911,NA
001e06114fd4,2018/06/04 02:16:24,intensity,NA,55.0
001e0611537d,2018/06/04 02:16:24,intensity,NA,62.74
001e0610b9e9,2018/06/04 02:16:25,intensity,NA,56.72
001e0610ee82,2018/06/04 02:16:25,concentration,1691,NA
001e0610ee82,2018/06/04 02:16:25,intensity,815,NA
001e0610ef68,2018/06/04 02:16:25,intensity,NA,56.72
001e06112e77,2018/06/04 02:16:25,concentration,-254,NA
001e06112e77,2018/06/04 02:16:25,intensity,NA,56.72
001e0610ee6f,2018/06/04 02:16:26,intensity,825,NA
001e0610eef4,2018/06/04 02:16:26,intensity,825,NA
001e0610ef73,2018/06/04 02:16:26,concentration,689,NA
001e0610ef73,2018/06/04 02:16:26,intensity,823,NA
001e06115365,2018/06/04 02:16:26,concentration,1384,NA
001e06115365,2018/06/04 02:16:26,intensity,NA,66.26
001e06113cf1,2018/06/04 02:16:27,concentration,1209,NA
001e06113cf1,2018/06/04 02:16:27,intensity,NA,66.26
001e06113dbc,2018/06/04 02:16:27,pm2_5,NA,NA
001e06113dbc,2018/06/04 02:16:27,concentration,1232,NA
001e06113dbc,2018/06/04 02:16:27,intensity,NA,62.74
001e06114500,2018/06/04 02:16:27,pm2_5,NA,NA
001e06114500,2018/06/04 02:16:27,concentration,1100,NA
001e06114500,2018/06/04 02:16:27,intensity,NA,66.26
001e0610bc12,2018/06/04 02:16:28,concentration,1244,NA
001e0610bc12,2018/06/04 02:16:28,intensity,NA,56.72
001e06113acb,2018/06/04 02:16:28,pm2_5,NA,NA
001e06113acb,2018/06/04 02:16:28,concentration,1070,NA
001e06113acb,2018/06/04 02:16:28,intensity,NA,62.74
001e06113ace,2018/06/04 02:16:28,intensity,NA,56.72
001e0610bbff,2018/06/04 02:16:29,pm2_5,NA,NA
001e0610bbff,2018/06/04 02:16:29,intensity,NA,55.0
001e0610f6db,2018/06/04 02:16:29,concentration,437,NA
001e0610f6db,2018/06/04 02:16:29,intensity,NA,56.72
001e0610fb4c,2018/06/04 02:16:29,intensity,824,NA
001e06113ad8,2018/06/04 02:16:29,concentration,1640,NA
001e06113ad8,2018/06/04 02:16:29,intensity,NA,56.72
001e0610bbf9,2018/06/04 02:16:30,intensity,NA,56.72
001e0610e809,2018/06/04 02:16:30,intensity,726,NA
001e0610e835,2018/06/04 02:16:30,concentration,698,NA
001e0610e835,2018/06/04 02:16:30,intensity,NA,56.72
001e0610ee5d,2018/06/04 02:16:30,intensity,NA,68.76
001e061144c0,2018/06/04 02:16:31,pm2_5,NA,NA
001e061144c0,2018/06/04 02:16:31,concentration,908,NA
001e061144c0,2018/06/04 02:16:31,intensity,NA,62.74
