[{'timestampt': 'Jun 11 2018 21:30:58', 'pm2.5': 22}]
[{'timestamp': 'Jun 11 2018 22:03:11', 'pm2.5': 46}]
[{'timestamp': 'Jun 11 2018 22:03:33', 'pm2.5': 50}]
[{'timestamp': 'Jun 11 2018 22:03:39', 'pm2.5': 50}]
[{'timestamp': 'Jun 11 2018 22:03:45', 'pm2.5': 44}]
[{'timestamp': 'Jun 11 2018 22:03:50', 'pm2.5': 43}]
[{'pm2.5': 41, 'timestamp': 'Jun 11 2018 22:03:56'}]
[{'pm2.5': 39, 'timestamp': 'Jun 11 2018 22:04:01'}]
[{'pm2.5': 37, 'timestamp': 'Jun 11 2018 22:04:06'}]
[{'pm2.5': 34, 'timestamp': 'Jun 11 2018 22:04:12'}]
[{'pm2.5': 32, 'timestamp': 'Jun 11 2018 22:04:17'}]
[{'pm2.5': 29, 'timestamp': 'Jun 11 2018 22:04:23'}]
[{'pm2.5': 28, 'timestamp': 'Jun 11 2018 22:04:28'}]
[{'pm2.5': 29, 'timestamp': 'Jun 11 2018 22:04:34'}]
[{'pm2.5': 31, 'timestamp': 'Jun 11 2018 22:04:39'}]
[{'pm2.5': 30, 'timestamp': 'Jun 11 2018 22:04:45'}]
[{'pm2.5': 29, 'timestamp': 'Jun 11 2018 22:04:50'}]
[{'pm2.5': 29, 'timestamp': 'Jun 11 2018 22:04:56'}]
[{'pm2.5': 29, 'timestamp': 'Jun 11 2018 22:05:01'}]
[{'pm2.5': 28, 'timestamp': 'Jun 11 2018 22:05:07'}]
[{'pm2.5': 27, 'timestamp': 'Jun 11 2018 22:05:12'}]
[{'pm2.5': 27, 'timestamp': 'Jun 11 2018 22:05:17'}]
[{'pm2.5': 26, 'timestamp': 'Jun 11 2018 22:05:23'}]
[{'pm2.5': 26, 'timestamp': 'Jun 11 2018 22:05:28'}]
[{'pm2.5': 29, 'timestamp': 'Jun 11 2018 22:05:34'}]
[{'pm2.5': 30, 'timestamp': 'Jun 11 2018 22:05:39'}]
[{'pm2.5': 28, 'timestamp': 'Jun 11 2018 22:05:45'}]
[{'pm2.5': 30, 'timestamp': 'Jun 11 2018 22:05:54'}]
[{'pm2.5': 28, 'timestamp': 'Jun 11 2018 22:05:55'}]
[{'pm2.5': 26, 'timestamp': 'Jun 11 2018 22:06:01'}]
[{'pm2.5': 25, 'timestamp': 'Jun 11 2018 22:06:06'}]
[{'pm2.5': 25, 'timestamp': 'Jun 11 2018 22:06:12'}]
[{'pm2.5': 27, 'timestamp': 'Jun 11 2018 22:06:17'}]
[{'pm2.5': 27, 'timestamp': 'Jun 11 2018 22:06:23'}]
[{'pm2.5': 27, 'timestamp': 'Jun 11 2018 22:06:28'}]
[{'pm2.5': 29, 'timestamp': 'Jun 11 2018 22:06:34'}]
[{'pm2.5': 27, 'timestamp': 'Jun 11 2018 22:06:39'}]
[{'pm2.5': 26, 'timestamp': 'Jun 11 2018 22:06:45'}]
[{'pm2.5': 30, 'timestamp': 'Jun 11 2018 22:06:50'}]
[{'pm2.5': 30, 'timestamp': 'Jun 11 2018 22:06:56'}]
[{'pm2.5': 29, 'timestamp': 'Jun 11 2018 22:07:02'}]
[{'pm2.5': 29, 'timestamp': 'Jun 11 2018 22:07:07'}]
[{'pm2.5': 30, 'timestamp': 'Jun 11 2018 22:07:12'}]
[{'pm2.5': 29, 'timestamp': 'Jun 11 2018 22:07:18'}]
[{'pm2.5': 29, 'timestamp': 'Jun 11 2018 22:07:23'}]
[{'pm2.5': 27, 'timestamp': 'Jun 11 2018 22:07:29'}]
[{'pm2.5': 26, 'timestamp': 'Jun 11 2018 22:07:34'}]
[{'pm2.5': 25, 'timestamp': 'Jun 11 2018 22:07:40'}]
[{'pm2.5': 25, 'timestamp': 'Jun 11 2018 22:07:45'}]
[{'pm2.5': 24, 'timestamp': 'Jun 11 2018 22:07:50'}]
[{'pm2.5': 24, 'timestamp': 'Jun 11 2018 22:07:56'}]
[{'pm2.5': 24, 'timestamp': 'Jun 11 2018 22:08:01'}]
[{'pm2.5': 25, 'timestamp': 'Jun 11 2018 22:08:06'}]
[{'pm2.5': 25, 'timestamp': 'Jun 11 2018 22:08:12'}]
[{'pm2.5': 23, 'timestamp': 'Jun 11 2018 22:08:18'}]
[{'pm2.5': 25, 'timestamp': 'Jun 11 2018 22:08:23'}]
